Precipitation_Bin_Center_mm,ALE_Effect_kg_ha
0.0505610644817352,-0.014403954
0.1176320006450017,-0.004682079
0.1674660568435987,-0.007564768
0.2433474496006966,-0.008603513
0.3301077395677568,-0.01025635
0.41885221302509323,-0.010792658
0.5113654037316643,-0.010811746
0.6268297334512075,-0.012100533
0.7500835537910453,-0.008119926
0.8678116500377653,-0.006581381
1.015847265720368,-0.00785473
1.1544041633605966,-0.0063500702
1.3239604671796166,-0.01995717
2.1158205231030833,-0.1663895
4.264438700675969,-0.2912521
